                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98663,                0.52427,                0.96877,                0.93738,                0.86842,                0.93649,                0.68269,                0.82683,                0.40483,                 0.9453,             0.00096215,             0.00096215,             0.00096215
                     35,                0.98627,                0.52169,                0.97174,                 0.9206,                0.87179,                0.92797,                0.67002,                0.84898,                0.40328,                0.95024,               0.000948,               0.000948,               0.000948
                     36,                0.96001,                0.50553,                0.96127,                 0.9454,                0.87694,                0.94516,                0.68865,                 0.8058,                0.39214,                 0.9396,             0.00093385,             0.00093385,             0.00093385
                     37,                0.94822,                0.49414,                0.95549,                0.93475,                0.88535,                0.94803,                0.69927,                0.79462,                0.38452,                0.93195,              0.0009197,              0.0009197,              0.0009197
                     38,                0.94123,                0.50297,                0.95727,                 0.9452,                0.88606,                0.94523,                0.68885,                0.82894,                0.38541,                0.94341,             0.00090556,             0.00090556,             0.00090556
                     39,                0.94709,                0.50545,                0.95682,                0.93953,                0.87081,                0.94638,                0.68808,                0.81299,                   0.39,                0.93882,             0.00089141,             0.00089141,             0.00089141
                     40,                0.93839,                0.49853,                0.94966,                0.94783,                0.88252,                 0.9537,                0.70645,                0.79741,                0.37838,                0.93189,             0.00087726,             0.00087726,             0.00087726
                     41,                0.93903,                0.49147,                0.94918,                 0.9526,                0.87495,                0.95117,                0.69601,                0.79609,                0.38134,                0.93201,             0.00086312,             0.00086312,             0.00086312
                     42,                0.92999,                0.48402,                0.95944,                0.95167,                0.88048,                0.95398,                0.71112,                0.79163,                 0.3787,                0.92711,             0.00084897,             0.00084897,             0.00084897
                     43,                0.94616,                  0.496,                0.95363,                 0.9582,                0.88701,                0.95633,                0.70184,                0.81215,                0.37951,                0.94827,             0.00083482,             0.00083482,             0.00083482
                     44,                0.91567,                0.47323,                0.94799,                 0.9676,                0.89288,                0.95572,                0.70531,                0.80579,                0.37344,                0.94045,             0.00082067,             0.00082067,             0.00082067
                     45,                0.91854,                 0.4752,                0.94552,                0.93202,                0.91342,                0.95801,                0.70725,                0.78309,                0.36644,                0.92519,             0.00080653,             0.00080653,             0.00080653
                     46,                0.91285,                0.47571,                0.94677,                0.92657,                0.91844,                0.96208,                0.71427,                0.76345,                0.36751,                0.91689,             0.00079238,             0.00079238,             0.00079238
                     47,                0.92389,                0.47567,                  0.945,                0.96975,                0.88814,                0.96065,                0.71257,                0.77349,                0.36135,                 0.9185,             0.00077823,             0.00077823,             0.00077823
                     48,                0.90683,                0.47281,                0.94849,                0.95522,                0.90276,                 0.9581,                0.71401,                0.77035,                0.36148,                0.91879,             0.00076409,             0.00076409,             0.00076409
                     49,                0.91954,                0.48058,                0.94384,                0.93774,                 0.9157,                0.96221,                0.71775,                0.76354,                0.35653,                0.91969,             0.00074994,             0.00074994,             0.00074994
                     50,                0.88331,                0.45802,                 0.9341,                0.96279,                 0.8966,                0.96104,                0.71728,                0.75858,                0.37101,                0.91509,             0.00073579,             0.00073579,             0.00073579
                     51,                0.90637,                0.47019,                0.93675,                0.95407,                0.91602,                0.96735,                0.72611,                0.74695,                0.34695,                0.91002,             0.00072164,             0.00072164,             0.00072164
                     52,                0.88418,                 0.4548,                0.93557,                0.96358,                0.91719,                0.96866,                0.73118,                0.73607,                0.34671,                0.90691,              0.0007075,              0.0007075,              0.0007075
                     53,                0.88218,                0.44557,                 0.9285,                0.97928,                0.91646,                0.97449,                0.74204,                0.72828,                0.33493,                0.90628,             0.00069335,             0.00069335,             0.00069335
                     54,                0.86262,                0.43613,                0.93222,                0.96163,                0.91018,                0.97101,                0.73455,                0.73886,                0.33773,                0.90647,              0.0006792,              0.0006792,              0.0006792
                     55,                0.86292,                0.43938,                0.93289,                0.95469,                0.92083,                0.96966,                0.74205,                0.73074,                0.34591,                0.90178,             0.00066506,             0.00066506,             0.00066506
                     56,                0.86849,                 0.4509,                0.92889,                 0.9499,                0.93305,                0.97081,                0.73482,                0.73742,                0.33805,                 0.9004,             0.00065091,             0.00065091,             0.00065091
                     57,                0.86637,                0.45138,                0.93364,                0.96137,                0.90845,                0.97242,                0.73356,                0.73386,                0.34202,                0.90195,             0.00063676,             0.00063676,             0.00063676
                     58,                0.83964,                 0.4288,                0.92231,                 0.9504,                0.92002,                0.97082,                0.74209,                 0.7225,                0.33128,                 0.9037,             0.00062262,             0.00062262,             0.00062262
                     59,                0.85502,                0.42834,                0.92489,                0.95665,                0.91144,                0.97406,                0.74371,                 0.7383,                0.33353,                0.90269,             0.00060847,             0.00060847,             0.00060847
                     60,                0.85373,                0.44052,                0.92906,                0.96881,                 0.8934,                0.97172,                0.73905,                0.70966,                0.33024,                0.89512,             0.00059432,             0.00059432,             0.00059432
                     61,                0.84115,                0.42925,                0.91896,                 0.9558,                0.93184,                0.97762,                0.74411,                0.72891,                 0.3279,                 0.8996,             0.00058017,             0.00058017,             0.00058017
                     62,                0.84699,                0.43094,                0.92246,                0.96127,                0.92536,                0.97712,                0.74968,                0.70062,                0.32116,                0.89115,             0.00056603,             0.00056603,             0.00056603
                     63,                0.83902,                 0.4232,                0.91815,                0.95781,                 0.9462,                0.97903,                0.75441,                0.68554,                0.31745,                0.88659,             0.00055188,             0.00055188,             0.00055188
                     64,                0.82254,                0.41552,                0.92113,                0.94625,                0.94594,                0.97555,                0.75589,                0.69765,                0.31998,                0.89166,             0.00053773,             0.00053773,             0.00053773
                     65,                0.85481,                0.42345,                0.92522,                0.97697,                0.93401,                0.98076,                0.75646,                 0.6774,                0.31287,                0.88203,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.8153,                0.40953,                0.92192,                0.97751,                0.93779,                0.97791,                0.76012,                0.68321,                0.31025,                0.88437,             0.00050944,             0.00050944,             0.00050944
                     67,                0.83685,                0.41848,                0.91102,                0.97777,                0.94361,                0.98014,                0.75782,                0.67816,                0.30785,                0.88262,             0.00049529,             0.00049529,             0.00049529
                     68,                0.84957,                0.43378,                0.91639,                0.97733,                0.94483,                 0.9818,                0.76655,                 0.6737,                0.30333,                0.87926,             0.00048114,             0.00048114,             0.00048114
                     69,                0.81426,                 0.4046,                0.91486,                0.96403,                0.94086,                0.97953,                0.76493,                 0.6573,                0.30346,                0.87558,               0.000467,               0.000467,               0.000467
                     70,                0.81862,                0.40894,                0.90561,                0.96521,                0.94309,                0.98117,                0.75914,                 0.6605,                0.30489,                0.87297,             0.00045285,             0.00045285,             0.00045285
                     71,                0.79699,                0.39623,                0.90847,                0.97571,                0.93709,                0.98177,                0.76603,                0.67355,                0.30312,                0.87865,              0.0004387,              0.0004387,              0.0004387
                     72,                0.81067,                0.40299,                0.91193,                0.95262,                0.95713,                0.98102,                0.76975,                0.65319,                0.29878,                0.87114,             0.00042456,             0.00042456,             0.00042456
                     73,                0.78817,                0.39216,                0.90266,                0.96326,                 0.9497,                0.98169,                 0.7808,                0.64221,                0.29945,                0.86809,             0.00041041,             0.00041041,             0.00041041
                     74,                0.78511,                 0.3984,                0.90162,                0.97252,                0.94514,                0.98152,                0.77757,                0.63513,                0.29112,                0.86425,             0.00039626,             0.00039626,             0.00039626
                     75,                0.80028,                0.39295,                0.90219,                0.96162,                0.94975,                0.98162,                0.77544,                0.63406,                0.29255,                0.86687,             0.00038211,             0.00038211,             0.00038211
